geography,age,dt,norm_visits
FL,55_64,30/05/2020,"6,428,467"
KS,25_34,27/08/2020,"1,215,270"
NJ,35_44,08/06/2020,"3,147,428"
NJ,35_44,06/05/2020,"2,737,792"
PA,18_24,24/05/2020,"2,667,551"
NH,45_54,16/09/2020,"704,742"
MA,45_54,01/05/2020,"2,323,132"
DC,35_44,18/09/2020,"368,367"
MD,35_44,31/08/2020,"2,296,737"
VA,35_44,20/09/2020,"3,607,784"
NY,25_34,09/03/2020,"9,299,934"
KY,45_54,16/07/2020,"1,758,793"
OK,35_44,29/04/2020,"1,254,520"
AL,45_54,25/06/2020,"1,919,861"
AZ,35_44,08/02/2020,"3,282,171"
AZ,35_44,15/03/2020,"2,957,280"
MN,45_54,14/09/2020,"2,193,894"
NC,55_64,09/02/2020,"3,034,996"
PA,45_54,15/07/2020,"5,261,130"
MI,65_plus,24/02/2020,"3,036,126"
NY,18_24,20/06/2020,"5,679,132"
CA,35_44,16/04/2020,"12,547,449"
MD,45_54,30/06/2020,"2,408,524"
SC,25_34,15/06/2020,"1,954,039"
NV,35_44,27/08/2020,"1,423,255"
NV,35_44,05/06/2020,"1,346,022"
NV,35_44,26/07/2020,"1,625,191"
NV,35_44,20/06/2020,"1,556,426"
AZ,35_44,06/07/2020,"2,234,578"
AZ,35_44,05/06/2020,"2,615,676"
KS,35_44,27/06/2020,"1,054,558"
OR,25_34,12/06/2020,"1,492,132"
OR,25_34,26/06/2020,"1,600,168"
OR,25_34,21/06/2020,"1,496,027"
NM,45_54,30/07/2020,"751,879"
GA,45_54,12/04/2020,"2,184,173"
VA,35_44,07/07/2020,"3,101,547"
KY,55_64,16/08/2020,"1,364,726"
IN,25_34,19/02/2020,"2,392,411"
WV,25_34,02/02/2020,"549,060"
VA,35_44,16/08/2020,"3,198,887"
VA,45_54,04/07/2020,"3,179,093"
TX,65_plus,09/03/2020,"6,961,172"
IL,35_44,20/04/2020,"3,855,086"
OR,45_54,28/02/2020,"1,777,807"
CO,35_44,23/04/2020,"1,651,724"
OH,35_44,21/03/2020,"3,405,626"
OH,35_44,20/07/2020,"4,020,197"
NV,45_54,04/04/2020,"883,804"
MS,25_34,11/06/2020,"1,219,615"
PA,35_44,19/05/2020,"4,000,892"
KY,45_54,02/05/2020,"1,667,655"
IL,55_64,10/03/2020,"3,775,438"
AZ,55_64,31/08/2020,"1,923,089"
AZ,55_64,09/08/2020,"1,755,412"
DE,35_44,06/05/2020,"313,982"
DE,35_44,08/09/2020,"423,596"
NY,45_54,05/08/2020,"9,442,402"
CT,35_44,10/04/2020,"1,103,883"
CT,35_44,22/09/2020,"1,491,612"
MA,65_plus,11/02/2020,"2,186,782"
RI,65_plus,05/07/2020,"363,640"
GA,35_44,26/03/2020,"3,706,685"
AR,35_44,01/09/2020,"1,096,835"
CT,45_54,10/08/2020,"1,748,556"
NJ,18_24,27/08/2020,"2,443,435"
MN,35_44,23/08/2020,"1,845,780"
WY,45_54,05/09/2020,"390,728"
MI,65_plus,26/04/2020,"2,196,221"
MI,65_plus,07/03/2020,"3,494,655"
NE,35_44,04/02/2020,"631,305"
PA,18_24,02/04/2020,"2,051,794"
NH,25_34,11/07/2020,"512,185"
IL,18_24,24/02/2020,"3,422,600"
ME,45_54,06/07/2020,"644,128"
IA,25_34,31/07/2020,"1,291,921"
MO,55_64,27/08/2020,"2,091,800"
