state,age,dt,norm_visits
DE,45_54,7/11/2020,"488,232"
WV,45_54,4/10/2020,"708,714"
IA,55_64,8/19/2020,"758,124"
WI,35_44,5/9/2020,"2,492,064"
OK,65_plus,3/11/2020,"561,567"
IA,35_44,2/19/2020,"1,455,529"
WI,65_plus,4/23/2020,"589,163"
WV,55_64,2/18/2020,"507,325"
AZ,65_plus,5/16/2020,"970,897"
AL,25_34,7/27/2020,"1,599,291"
UT,18_24,6/8/2020,"468,053"
UT,45_54,4/23/2020,"822,882"
VT,35_44,3/4/2020,"273,046"
VT,18_24,8/15/2020,"138,807"
WY,35_44,7/13/2020,"388,926"
MA,18_24,4/13/2020,"721,687"
AK,25_34,6/22/2020,"311,484"
AK,18_24,5/19/2020,"123,206"
AK,65_plus,6/18/2020,"126,853"
ID,45_54,8/17/2020,"625,835"
ME,35_44,3/1/2020,"586,530"
RI,35_44,3/13/2020,"538,963"
AL,18_24,5/17/2020,"842,240"
ME,25_34,4/7/2020,"282,436"
HI,45_54,2/29/2020,"1,071,646"
WV,55_64,7/10/2020,"509,920"
DE,55_64,2/12/2020,"353,157"
ME,25_34,3/6/2020,"454,196"
WY,25_34,7/27/2020,"291,518"
SD,35_44,4/26/2020,"346,649"
MT,25_34,4/4/2020,"262,496"
HI,25_34,8/3/2020,"782,208"
WY,25_34,4/11/2020,"167,522"
AR,18_24,5/12/2020,"443,772"
AZ,35_44,2/23/2020,"3,741,534"
AZ,45_54,2/4/2020,"2,820,950"
MI,55_64,3/27/2020,"2,061,785"
NC,55_64,2/14/2020,"3,128,387"
AR,18_24,5/7/2020,"488,421"
AR,65_plus,6/23/2020,"426,077"
FL,25_34,7/23/2020,"7,136,318"
FL,18_24,8/6/2020,"3,109,680"
MN,45_54,6/7/2020,"1,563,606"
FL,65_plus,8/10/2020,"3,762,569"
IL,45_54,8/7/2020,"5,156,075"
PA,25_34,6/16/2020,"4,545,487"
PA,35_44,7/25/2020,"6,112,396"
NC,65_plus,8/11/2020,"1,568,296"
PA,35_44,7/17/2020,"5,997,224"
PA,35_44,4/12/2020,"3,439,391"
PA,25_34,4/20/2020,"3,495,480"
PA,65_plus,5/15/2020,"1,624,552"
PA,65_plus,4/10/2020,"1,262,535"
AR,55_64,4/16/2020,"704,052"
AR,55_64,6/21/2020,"595,507"
AR,18_24,6/30/2020,"513,396"
FL,55_64,8/18/2020,"5,506,211"
NY,35_44,2/18/2020,"10,706,644"
NY,55_64,5/3/2020,"4,415,567"
NY,45_54,5/13/2020,"7,646,778"
NY,45_54,2/22/2020,"9,990,291"
NY,55_64,2/19/2020,"6,249,720"
NY,18_24,5/27/2020,"3,407,130"
TX,65_plus,6/11/2020,"3,026,350"
TX,55_64,8/6/2020,"5,287,025"
TX,55_64,7/25/2020,"5,017,000"
TX,45_54,3/30/2020,"7,506,349"
WA,65_plus,6/10/2020,"1,150,970"
WA,18_24,4/29/2020,"891,151"
WA,25_34,8/5/2020,"2,623,998"
WA,25_34,4/6/2020,"2,126,342"
NM,45_54,5/25/2020,"608,389"
OK,65_plus,8/6/2020,"462,308"
NH,55_64,7/18/2020,"478,734"
NH,55_64,3/4/2020,"415,866"
IL,55_64,8/16/2020,"2,789,161"
IL,45_54,7/17/2020,"5,091,531"
IL,65_plus,7/17/2020,"1,626,862"
IL,45_54,7/22/2020,"4,739,041"
NJ,45_54,6/8/2020,"3,426,262"
TX,55_64,7/3/2020,"5,788,263"
WY,25_34,2/22/2020,"250,182"
GA,35_44,4/3/2020,"5,040,791"
GA,65_plus,7/6/2020,"1,262,143"
GA,65_plus,7/17/2020,"1,339,417"
