"","school","cumulative_students","date","start","number_students","type","loc"
"212","ANNUNCIATION CATHOLIC ACADEMY",0,"2020-10-24","2020-09-06",507,"Private","FL"
"213","ANNUNCIATION CATHOLIC ACADEMY",2,"2020-11-21","2020-09-06",507,"Private","FL"
"214","ANNUNCIATION CATHOLIC ACADEMY",7,"2020-12-05","2020-09-06",507,"Private","FL"
"215","ANONA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",459,"Public","FL"
"216","ANONA ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",459,"Public","FL"
"217","ANTHONY ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",390,"Public","FL"
"218","ANTHONY ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",390,"Public","FL"
"219","ANTIOCH ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",946,"Public","FL"
"220","ANTIOCH ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",946,"Public","FL"
"221","ANTIOCH ELEMENTARY SCHOOL",7,"2020-12-05","2020-09-06",946,"Public","FL"
"222","APALACHEE ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",615,"Public","FL"
"223","APALACHEE ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",615,"Public","FL"
"224","APALACHICOLA BAY CHARTER SCHOOL",2,"2020-10-24","2020-09-06",353,"Public","FL"
"225","APALACHICOLA BAY CHARTER SCHOOL",3,"2020-11-21","2020-09-06",353,"Public","FL"
"226","APALACHICOLA BAY CHARTER SCHOOL",5,"2020-12-05","2020-09-06",353,"Public","FL"
"227","APOLLO BEACH ELEMENTARY SCHOOL",3,"2020-10-24","2020-09-06",646,"Public","FL"
"228","APOLLO BEACH ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",646,"Public","FL"
"229","APOLLO BEACH ELEMENTARY SCHOOL",6,"2020-12-05","2020-09-06",646,"Public","FL"
"230","APOLLO ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",847,"Public","FL"
"231","APOLLO ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",847,"Public","FL"
"232","APOLLO MIDDLE SCHOOL",0,"2020-11-21","2020-09-06",1399,"Public","FL"
"233","APOLLO MIDDLE SCHOOL",1,"2020-12-05","2020-09-06",1399,"Public","FL"
"234","APOPKA HIGH",1,"2020-10-24","2020-09-06",3371,"Public","FL"
"235","APOPKA HIGH",4,"2020-11-21","2020-09-06",3371,"Public","FL"
"236","APOPKA HIGH",13,"2020-12-05","2020-09-06",3371,"Public","FL"
"237","APOPKA MIDDLE",1,"2020-10-24","2020-09-06",1083,"Public","FL"
"238","APOPKA MIDDLE",3,"2020-11-21","2020-09-06",1083,"Public","FL"
"239","APOPKA MIDDLE",4,"2020-12-05","2020-09-06",1083,"Public","FL"
"240","ARBOR RIDGE K-8",3,"2020-10-24","2020-09-06",789,"Public","FL"
"241","ARBOR RIDGE K-8",3,"2020-11-21","2020-09-06",789,"Public","FL"
"242","ARBOR RIDGE K-8",4,"2020-12-05","2020-09-06",789,"Public","FL"
"243","ARCHER ELEMENTARY",1,"2020-12-05","2020-09-06",545,"Public","FL"
"244","ARCHIMEDEAN ACADEMY",0,"2020-10-24","2020-09-06",633,"Public","FL"
"245","ARCHIMEDEAN ACADEMY",2,"2020-11-21","2020-09-06",633,"Public","FL"
"246","ARCHIMEDEAN ACADEMY",4,"2020-11-21","2020-09-06",633,"Public","FL"
"247","ARCHIMEDEAN ACADEMY",6,"2020-12-05","2020-09-06",633,"Public","FL"
"248","ARCHIMEDEAN ACADEMY",14,"2020-12-05","2020-09-06",633,"Public","FL"
"249","ARCHIMEDEAN MIDDLE CONSERVATORY",2,"2020-11-21","2020-09-06",327,"Public","FL"
"250","ARCHIMEDEAN MIDDLE CONSERVATORY",4,"2020-12-05","2020-09-06",327,"Public","FL"
"251","ARCHIMEDEAN UPPER CONSERVATORY",1,"2020-10-24","2020-09-06",328,"Public","FL"
"252","ARCHIMEDEAN UPPER CONSERVATORY",1,"2020-11-21","2020-09-06",328,"Public","FL"
"253","ARCHIMEDEAN UPPER CONSERVATORY",2,"2020-12-05","2020-09-06",328,"Public","FL"
"254","ARCOLA LAKE ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",540,"Public","FL"
"255","ARCOLA LAKE ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",540,"Public","FL"
"256","ARCOLA LAKE ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",540,"Public","FL"
"257","ARGYLE ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",685,"Public","FL"
"258","ARGYLE ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",685,"Public","FL"
"259","ARGYLE ELEMENTARY SCHOOL",6,"2020-12-05","2020-09-06",685,"Public","FL"
"260","ARK CHRISTIAN ACADEMY",0,"2020-10-24","2020-09-06",16,"Private","FL"
"261","ARK CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",16,"Private","FL"
"262","ARK CHRISTIAN ACADEMY",3,"2020-12-05","2020-09-06",16,"Private","FL"
"263","ARLINGTON ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",237,"Public","FL"
"264","ARLINGTON ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",237,"Public","FL"
"265","ARLINGTON ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",237,"Public","FL"
"266","ARLINGTON HEIGHTS ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",328,"Public","FL"
"267","ARLINGTON MIDDLE SCHOOL",1,"2020-11-21","2020-09-06",740,"Public","FL"
